encoded_feature,importance,feature_family
contract_two_year,0.28081045167593993,contract
contract_one_year,0.17318403222827933,contract
customer_satisfaction_group_satisfaction_1_3,0.10418120046500491,customer_satisfaction_group
contract_month_to_month,0.0719608958528016,contract
customer_satisfaction_group_satisfaction_7_9,0.06370925016188775,customer_satisfaction_group
has_tech_support,0.04793846680850483,has_tech_support
num_complaints_group_complaints_gt_1,0.045618713396438346,num_complaints_group
num_complaints_group_complaints_le_1,0.036205431837036665,num_complaints_group
num_service_calls_group_service_calls_gt_3,0.032316188277056256,num_service_calls_group
num_service_calls_group_service_calls_le_3,0.03050528073037,num_service_calls_group
late_payments_group_late_0,0.024634242268845218,late_payments_group
customer_satisfaction_group_satisfaction_4_6,0.019472498444505385,customer_satisfaction_group
late_payments_group_late_1_2,0.01652725783217184,late_payments_group
num_services_group_services_1_2,0.014865436922275984,num_services_group
num_services_group_services_5_6,0.009431219718829901,num_services_group
num_services_group_services_3_4,0.006862676829058632,num_services_group
tenure_group_tenure_32_plus,0.0049642494769352175,tenure_group
tenure_group_tenure_1_6,0.004848483284884883,tenure_group
tenure_group_tenure_7_15,0.0042151952464706925,tenure_group
late_payments_group_late_3_plus,0.004069474016263574,late_payments_group
tenure_group_tenure_16_31,0.0036522942609537945,tenure_group
monthlycharges_group_monthly_lt_200,1.6303587065327537e-05,monthlycharges_group
monthlycharges_group_monthly_ge_200,1.0756678420062925e-05,monthlycharges_group
